,Region and country of birth,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998 1,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
118,Eritrea, X , X , X , X , 85 , 468 , 992 , 828 , 948 ,641,326,382,540,560,556,675,796,1593,1081,1270,1928,1656,2102,2643,2138,2002,2220,2267,2449,2428
119,Ethiopia, 3389 , 4336 , 5127 , 4602 , 5191 , 3887 , 5960 , 6086 , 5904 ,4205,4272,4053,5092,7565,6635,8286,10571,16152,12786,12917,15462,14266,13793,14544,13097,12300,11394,13232,14637,12403
121,Gabon, 7 , 11 , 11 , 9 , 5 , 11 , 13 , 29 , 24 ,21,4,18,32,41,40,50,66,85,95,82,171,138,204,197,127,167,146,165,150,112
123,Ghana, 2045 , 4466 , 3330 , 1867 , 1604 , 1458 , 3152 , 6606 , 5105 ,4458,3714,4339,4023,4248,4410,5337,6491,9367,7610,8195,8401,7429,8798,10592,10265,7115,6186,6949,8455,8394
124,Guinea, 45 , 67 , 84 , 104 , 102 , 97 , 152 , 220 , 158 ,46,6,3,11,16,29,347,495,1110,1088,1735,1725,1379,1555,1656,1518,1375,1389,1501,1348,1282
126,Kenya, 910 , 1297 , 1185 , 953 , 1065 , 1017 , 1419 , 1666 , 1387 ,1696,1412,2197,2501,3199,3209,5335,5347,8779,7030,6998,9880,7421,7762,7043,6123,5884,5602,6274,6957,7190
127,Lesotho, 8 , 16 , 4 , 15 , 5 , 8 , 10 , 11 , 6 ,4,5,9,6,13,5,14,12,18,14,16,14,23,25,17,20,13,23,19,24,12
128,Liberia, 1175 , 2004 , 1292 , 999 , 1050 , 1762 , 1929 , 2206 , 2216 ,1617,1358,1570,2273,2869,1766,2757,4880,6887,4102,7193,7641,4837,4151,4109,3334,3874,3795,3619,4155,3101
129,Libya, 210 , 268 , 314 , 286 , 343 , 166 , 216 , 250 , 171 ,166,156,180,223,158,140,185,223,271,186,285,296,355,357,315,376,524,734,642,780,499
130,Madagascar, 23 , 37 , 23 , 41 , 32 , 27 , 42 , 43 , 33 ,42,26,33,61,43,40,54,60,72,53,77,71,80,83,79,95,86,72,88,60,79
131,Malawi, 84 , 48 , 68 , 72 , 53 , 55 , 56 , 58 , 72 ,39,41,61,70,56,62,83,131,131,123,133,164,164,123,192,159,172,160,205,228,257
132,Mali, 18 , 34 , 63 , 55 , 51 , 55 , 94 , 124 , 97 ,83,72,109,119,105,124,163,277,408,412,523,576,528,629,734,667,604,587,598,544,488
133,Mauritania, 9 , 3 , 9 , 2 , 9 , 10 , 22 , 26 , 51 ,78,24,88,117,124,131,170,275,720,651,844,597,495,393,410,354,320,298,317,287,212
134,Mauritius, 56 , 67 , 64 , 61 , 83 , 65 , 67 , 84 , 44 ,37,38,54,84,83,57,65,99,108,88,83,110,84,101,77,83,81,96,110,96,67
135,Morocco, 984 , 1200 , 1601 , 1316 , 1176 , 1074 , 1726 , 1783 , 2359 ,2410,2971,3614,4958,3387,3137,4128,4411,4949,4513,4425,5447,5013,4399,3656,3336,3605,3710,4586,4229,3077
136,Mozambique, 81 , 100 , 74 , 54 , 56 , 44 , 50 , 59 , 48 ,39,31,41,48,54,36,59,54,78,81,69,66,53,60,94,73,71,107,101,96,100
137,Namibia, 26 , 23 , 14 , 29 , 37 , 24 , 35 , 30 , 22 ,24,13,30,54,46,40,40,63,56,57,46,53,60,43,59,57,44,86,87,130,75
