,Region and country of birth,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
203,Turkey,"4,958","4,483","4,403","4,162","4,144","3,834","4,201","4,469","4,844","5,585"
204,Turkmenistan,290,224,260,223,210,254,226,235,251,286
205,Turks and Caicos Islands,31,29,33,30,50,40,38,39,35,41
206,Uganda,"1,364","1,085","1,239","1,340","1,350","1,409","1,664","1,649","1,898","2,412"
207,Ukraine,"11,223","8,477","8,292","7,642","8,193","7,752","7,987","10,422","10,135","11,879"
208,United Arab Emirates,697,779,707,854,910,"1,039","1,193","1,370","1,314","1,379"
209,United Kingdom,"15,748","12,792","11,572","12,014","12,984","12,225","12,592","12,673","10,948","9,908"
210,United States,181,201,269,279,319,358,370,468,409,306
211,Uruguay,"1,775","1,331","1,553","1,374","1,352","1,128","1,078",972,"1,001",960
212,Uzbekistan,"5,467","4,770","5,056","4,726","4,382","5,194","3,977","4,359","4,095","4,612"
213,Venezuela,"11,154","9,409","9,183","9,387","9,572","8,427","9,144","10,772","11,809","11,762"
214,Vietnam,"29,234","30,632","34,157","28,304","27,101","30,283","30,832","41,451","38,231","33,834"
215,"Virgin Islands, British",46,46,37,39,45,56,38,40,25,37
216,Yemen,"3,134","3,591","3,361","2,620","3,532","3,492","3,194","13,040","6,029","1,885"
217,Zambia,704,628,652,643,505,441,460,487,537,477
218,Zimbabwe,983,"1,274","1,016",914,924,797,779,815,810,749
219,All other countries 2,38,32,27,25,30,36,35,34,37,33
220,Unknown,"1,366","1,330","1,245","1,206","3,263","1,150",677,"1,724","1,468","1,151"
