,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Congo, Republic",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,90.0,139.0,123.0,163.0,193.0,369.0,287.0,306.0,308.0,313.0,345.0,381.0,402.0,438.0,473.0,395.0,322.0,316.0
"Congo, Republic 3 ",9.0,4.0,2.0,4.0,5.0,1.0,4.0,2.0,8.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Costa Rica,589.0,792.0,547.0,672.0,1063.0,1145.0,2603.0,1488.0,1077.0,1927.0,1887.0,1138.0,1000.0,868.0,970.0,1161.0,1402.0,1227.0,2376.0,1517.0,1114.0,1511.0,1597.0,1661.0,1461.0,1633.0,1862.0,1720.0,1860.0
Cote d'Ivoire,14.0,27.0,36.0,47.0,76.0,77.0,139.0,89.0,75.0,104.0,184.0,171.0,271.0,264.0,317.0,324.0,491.0,382.0,479.0,589.0,549.0,694.0,868.0,958.0,910.0,1078.0,1127.0,907.0,908.0
Croatia,0.0,0.0,0.0,33.0,144.0,242.0,496.0,222.0,192.0,356.0,500.0,516.0,620.0,615.0,1084.0,1348.0,1623.0,1073.0,1251.0,718.0,589.0,569.0,725.0,561.0,428.0,563.0,438.0,351.0,371.0
Cuba,10291.0,9554.0,7763.0,15109.0,16421.0,17481.0,62168.0,12860.0,15114.0,19891.0,15608.0,11343.0,10857.0,7698.0,11236.0,11227.0,21481.0,15394.0,39871.0,24891.0,14050.0,21071.0,31244.0,30482.0,24092.0,25770.0,32101.0,25961.0,32089.0
Curacao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,17.0,13.0,16.0,20.0
Cyprus,185.0,167.0,170.0,188.0,194.0,170.0,212.0,106.0,112.0,145.0,204.0,185.0,150.0,100.0,104.0,134.0,140.0,109.0,160.0,160.0,118.0,115.0,92.0,112.0,112.0,107.0,105.0,84.0,125.0
Czech Republic,0.0,0.0,0.0,0.0,6.0,5.0,11.0,16.0,6.0,32.0,58.0,47.0,64.0,50.0,69.0,102.0,122.0,122.0,192.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czechia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,485.0,477.0,562.0,565.0,733.0,692.0,595.0,644.0
Czechoslovakia (former),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,654.0,489.0,453.0,333.0,434.0,490.0,614.0,449.0,629.0,503.0,372.0,310.0,291.0,232.0,303.0,371.0,344.0,251.0,260.0
Czechoslovakia 1,916.0,843.0,676.0,629.0,683.0,587.0,558.0,323.0,228.0,335.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denmark,153.0,177.0,126.0,162.0,255.0,225.0,279.0,159.0,165.0,201.0,285.0,226.0,194.0,197.0,175.0,154.0,199.0,170.0,210.0,156.0,123.0,124.0,133.0,127.0,129.0,243.0,1193.0,769.0,650.0
Djibouti,1.0,6.0,7.0,7.0,5.0,8.0,5.0,3.0,2.0,6.0,10.0,9.0,18.0,16.0,12.0,17.0,18.0,14.0,25.0,19.0,17.0,22.0,26.0,39.0,26.0,26.0,52.0,48.0,65.0
Dominica,399.0,550.0,308.0,285.0,381.0,399.0,694.0,535.0,642.0,856.0,713.0,370.0,456.0,361.0,441.0,543.0,741.0,539.0,975.0,672.0,543.0,594.0,597.0,642.0,520.0,653.0,610.0,539.0,612.0
Dominican Republic,5984.0,6368.0,8464.0,12274.0,11415.0,9934.0,27293.0,19450.0,11324.0,18802.0,25098.0,14958.0,15562.0,12607.0,15464.0,20831.0,22165.0,20645.0,35251.0,20778.0,15451.0,20508.0,33351.0,39590.0,23775.0,26665.0,31320.0,29734.0,22970.0
Ecuador,2052.0,2215.0,1857.0,2703.0,3951.0,5366.0,14206.0,7129.0,4539.0,7205.0,9454.0,6547.0,6392.0,5061.0,5616.0,7091.0,8321.0,7229.0,11908.0,7609.0,5931.0,6929.0,8783.0,9470.0,6952.0,7664.0,8568.0,7748.0,7996.0
Egypt,1945.0,2644.0,2098.0,2045.0,2616.0,2625.0,3486.0,2021.0,1354.0,2205.0,3486.0,3779.0,3698.0,2922.0,3726.0,4061.0,4271.0,3231.0,4165.0,5224.0,5860.0,5848.0,6191.0,6213.0,5094.0,5693.0,5696.0,5154.0,6549.0
El Salvador,2410.0,3653.0,2056.0,3057.0,5675.0,13667.0,33240.0,17818.0,12160.0,22176.0,24001.0,13613.0,10699.0,8719.0,9602.0,12174.0,13430.0,17157.0,35796.0,18927.0,10343.0,13834.0,16685.0,18401.0,15598.0,16930.0,17213.0,16941.0,17300.0
Equatorial Guinea,2.0,4.0,2.0,1.0,2.0,2.0,5.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,9.0,19.0,14.0,12.0,14.0,18.0,8.0,9.0
Eritrea,0.0,0.0,0.0,0.0,69.0,371.0,541.0,399.0,488.0,602.0,823.0,755.0,809.0,819.0,829.0,692.0,653.0,553.0,694.0,760.0,991.0,985.0,1059.0,1145.0,1045.0,1494.0,1797.0,1424.0,1457.0
Estonia,17.0,33.0,14.0,20.0,62.0,63.0,78.0,56.0,51.0,64.0,108.0,105.0,110.0,102.0,126.0,104.0,156.0,132.0,221.0,209.0,185.0,217.0,234.0,213.0,183.0,208.0,183.0,157.0,190.0
Eswatini (formerly Swaziland),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,15.0,10.0,15.0,7.0,12.0,8.0,16.0,13.0
